Time,Treatment,Replicate,Cfu,Antibiotic_present,Donor,Resistant_focal_strain
0,Sterile slurry human donor 3,1,972400,no,Human donor 3,no
2,Sterile slurry human donor 3,1,7960000,no,Human donor 3,no
24,Sterile slurry human donor 3,1,214400000,no,Human donor 3,no
48,Sterile slurry human donor 3,1,85600000,no,Human donor 3,no
72,Sterile slurry human donor 3,1,64000000,no,Human donor 3,no
96,Sterile slurry human donor 3,1,46200000,no,Human donor 3,no
120,Sterile slurry human donor 3,1,111400000,no,Human donor 3,no
144,Sterile slurry human donor 3,1,174400000,no,Human donor 3,no
168,Sterile slurry human donor 3,1,236800000,no,Human donor 3,no
0,Sterile slurry human donor 3,2,598400,no,Human donor 3,no
2,Sterile slurry human donor 3,2,1480000,no,Human donor 3,no
24,Sterile slurry human donor 3,2,171000000,no,Human donor 3,no
48,Sterile slurry human donor 3,2,122400000,no,Human donor 3,no
72,Sterile slurry human donor 3,2,26000000,no,Human donor 3,no
96,Sterile slurry human donor 3,2,29000000,no,Human donor 3,no
120,Sterile slurry human donor 3,2,8940000,no,Human donor 3,no
144,Sterile slurry human donor 3,2,145600000,no,Human donor 3,no
168,Sterile slurry human donor 3,2,163200000,no,Human donor 3,no
0,Sterile slurry human donor 3,3,147100,no,Human donor 3,no
2,Sterile slurry human donor 3,3,50560000,no,Human donor 3,no
24,Sterile slurry human donor 3,3,227200000,no,Human donor 3,no
48,Sterile slurry human donor 3,3,204800000,no,Human donor 3,no
72,Sterile slurry human donor 3,3,32600000,no,Human donor 3,no
96,Sterile slurry human donor 3,3,74400000,no,Human donor 3,no
120,Sterile slurry human donor 3,3,123200000,no,Human donor 3,no
144,Sterile slurry human donor 3,3,153600000,no,Human donor 3,no
168,Sterile slurry human donor 3,3,196800000,no,Human donor 3,no
0,Sterile slurry human donor 3 + Amp,1,305600,yes,Human donor 3,no
2,Sterile slurry human donor 3 + Amp,1,19040000,yes,Human donor 3,no
24,Sterile slurry human donor 3 + Amp,1,46720000,yes,Human donor 3,no
48,Sterile slurry human donor 3 + Amp,1,16480000,yes,Human donor 3,no
72,Sterile slurry human donor 3 + Amp,1,13400000,yes,Human donor 3,no
96,Sterile slurry human donor 3 + Amp,1,79200000,yes,Human donor 3,no
120,Sterile slurry human donor 3 + Amp,1,9000000,yes,Human donor 3,no
144,Sterile slurry human donor 3 + Amp,1,37200000,yes,Human donor 3,yes
168,Sterile slurry human donor 3 + Amp,1,8600000,yes,Human donor 3,yes
0,Sterile slurry human donor 3 + Amp,2,920000,yes,Human donor 3,no
2,Sterile slurry human donor 3 + Amp,2,7920000,yes,Human donor 3,no
24,Sterile slurry human donor 3 + Amp,2,34720000,yes,Human donor 3,no
48,Sterile slurry human donor 3 + Amp,2,35840000,yes,Human donor 3,no
72,Sterile slurry human donor 3 + Amp,2,5000000,yes,Human donor 3,no
96,Sterile slurry human donor 3 + Amp,2,51000000,yes,Human donor 3,no
120,Sterile slurry human donor 3 + Amp,2,6200000,yes,Human donor 3,no
144,Sterile slurry human donor 3 + Amp,2,40000000,yes,Human donor 3,yes
168,Sterile slurry human donor 3 + Amp,2,2600000,yes,Human donor 3,yes
0,Sterile slurry human donor 3 + Amp,3,704000,yes,Human donor 3,no
2,Sterile slurry human donor 3 + Amp,3,43840000,yes,Human donor 3,no
24,Sterile slurry human donor 3 + Amp,3,51360000,yes,Human donor 3,no
48,Sterile slurry human donor 3 + Amp,3,47840000,yes,Human donor 3,no
72,Sterile slurry human donor 3 + Amp,3,96000000,yes,Human donor 3,no
96,Sterile slurry human donor 3 + Amp,3,45000000,yes,Human donor 3,no
120,Sterile slurry human donor 3 + Amp,3,9200000,yes,Human donor 3,no
144,Sterile slurry human donor 3 + Amp,3,46200000,yes,Human donor 3,no
168,Sterile slurry human donor 3 + Amp,3,4140000,yes,Human donor 3,no
0,Community human donor 3,4,416000,no,Human donor 3,no
2,Community human donor 3,4,22720000,no,Human donor 3,no
24,Community human donor 3,4,7800000,no,Human donor 3,no
48,Community human donor 3,4,212800000,no,Human donor 3,no
72,Community human donor 3,4,70800000,no,Human donor 3,no
96,Community human donor 3,4,30800000,no,Human donor 3,no
120,Community human donor 3,4,112320000,no,Human donor 3,no
144,Community human donor 3,4,52000000,no,Human donor 3,no
168,Community human donor 3,4,58860000,no,Human donor 3,no
0,Community human donor 3,5,502400,no,Human donor 3,no
2,Community human donor 3,5,19280000,no,Human donor 3,no
24,Community human donor 3,5,3400000,no,Human donor 3,no
48,Community human donor 3,5,144000000,no,Human donor 3,no
72,Community human donor 3,5,8200000,no,Human donor 3,no
96,Community human donor 3,5,17080000,no,Human donor 3,no
120,Community human donor 3,5,24960000,no,Human donor 3,no
144,Community human donor 3,5,29760000,no,Human donor 3,no
168,Community human donor 3,5,63800000,no,Human donor 3,no
0,Community human donor 3,6,400000,no,Human donor 3,no
2,Community human donor 3,6,21176000,no,Human donor 3,no
24,Community human donor 3,6,2000000,no,Human donor 3,no
48,Community human donor 3,6,139200000,no,Human donor 3,no
72,Community human donor 3,6,46600000,no,Human donor 3,no
96,Community human donor 3,6,21960000,no,Human donor 3,no
120,Community human donor 3,6,22720000,no,Human donor 3,no
144,Community human donor 3,6,92640000,no,Human donor 3,no
168,Community human donor 3,6,44160000,no,Human donor 3,no
0,Community human donor 3 + Amp,4,377600,yes,Human donor 3,no
2,Community human donor 3 + Amp,4,22240000,yes,Human donor 3,no
24,Community human donor 3 + Amp,4,392000,yes,Human donor 3,no
48,Community human donor 3 + Amp,4,138200000,yes,Human donor 3,no
72,Community human donor 3 + Amp,4,2560000,yes,Human donor 3,no
96,Community human donor 3 + Amp,4,1,yes,Human donor 3,no
120,Community human donor 3 + Amp,4,1,yes,Human donor 3,no
144,Community human donor 3 + Amp,4,1,yes,Human donor 3,no
168,Community human donor 3 + Amp,4,1,yes,Human donor 3,no
0,Community human donor 3 + Amp,5,569600,yes,Human donor 3,no
2,Community human donor 3 + Amp,5,23440000,yes,Human donor 3,no
24,Community human donor 3 + Amp,5,632000,yes,Human donor 3,no
48,Community human donor 3 + Amp,5,65600000,yes,Human donor 3,no
72,Community human donor 3 + Amp,5,1,yes,Human donor 3,no
96,Community human donor 3 + Amp,5,1,yes,Human donor 3,no
120,Community human donor 3 + Amp,5,1,yes,Human donor 3,no
144,Community human donor 3 + Amp,5,1,yes,Human donor 3,no
168,Community human donor 3 + Amp,5,1,yes,Human donor 3,no
0,Community human donor 3 + Amp,6,438400,yes,Human donor 3,no
2,Community human donor 3 + Amp,6,19200000,yes,Human donor 3,no
24,Community human donor 3 + Amp,6,1100000,yes,Human donor 3,no
48,Community human donor 3 + Amp,6,38528000,yes,Human donor 3,no
72,Community human donor 3 + Amp,6,19840000,yes,Human donor 3,no
96,Community human donor 3 + Amp,6,4272000,yes,Human donor 3,no
120,Community human donor 3 + Amp,6,3504000,yes,Human donor 3,no
144,Community human donor 3 + Amp,6,1,yes,Human donor 3,no
168,Community human donor 3 + Amp,6,1,yes,Human donor 3,no
